contract_id,district_id,district_name,source_doc_id,bucket,detail,source_url
196,10888,Mercer County School District 404,134,no_candidate_table,"{'lines_with_money': 10, 'lines_with_edu_lane': 7}",https://www.mercerschools.org/_files/ugd/52544f_6204fda182394623898fcac7ad74f964.pdf
197,10785,Minooka CCSD 201,135,scanned_no_text,words=0 pages=2,https://www.min201.org/fs/resource-manager/view/0ea1631c-e1cf-4c2a-8d4f-c3b936640f16
198,10447,Morton Grove SD 70,136,scanned_no_text,words=0 pages=78,https://www.mgsd70.org/board-of-education/files/documents/Teacher Contract/D70 and Park View Council of Teachers Contract 2024-2028.pdf
200,11127,N Pekin & Marquette Hght SD 102,137,scanned_no_text,words=0 pages=31,https://www.dist102.org/vimages/shared/vnews/stories/50783ee3a98f4/Signed MASTER CONTRACT 2022.2026.pdf
201,10654,Nashville CHSD 99,138,scanned_no_text,words=0 pages=27,https://www.nashville-k12.org/UserFiles/Servers/Server_89234/File/School%20Board/misc_documents/NCHS_Teacehrs_Contract_2023_2026.pdf
202,10592,Neoga CUSD 3,139,scanned_no_text,words=0 pages=30,https://www.neoga.k12.il.us/vimages/shared/vnews/stories/5a73276313390/Professional Agreement 24-28.pdf
203,11113,Pawnee CUSD 11,148,scanned_no_text,words=0 pages=38,https://www.pawneeschools.com/vimages/shared/vnews/stories/4ac57182973a6/doc20240828092823.pdf
204,10944,Peru ESD 124,149,scanned_no_text,words=0 pages=32,https://www.perued.net/vimages/shared/vnews/stories/5b66491777ff2/SIGNED FINAL Teacher Contract Agreement 2024-2028 Peru ESD 124 6-10-2024.pdf
207,10464,Schiller Park SD 81,159,scanned_no_text,words=0 pages=38,https://www.sd81.org/bo/files/A%202019%20financial%20docs/Signed%20CBA%20FY22-FY26.pdf
209,10802,Southeastern CUSD 337,161,scanned_no_text,words=0 pages=18,https://www.southeastern337.com/UserFiles/Servers/Server_1009717/File/District/2024-2025/Misc/Collective Bargaining Agreement 2024-2026.pdf
210,10812,Spring Valley CCSD 99,164,scanned_no_text,words=0 pages=24,https://www.sv99.org/pages/uploaded_files/21-26 SV99 Teacher Contract.pdf
211,10431,West Northfield SD 31,173,scanned_no_text,words=0 pages=39,https://www.district31.net/fs/resource-manager/view/4605b38d-3a2d-45c2-92a6-2fad7429834b
212,10709,Winfield SD 34,176,scanned_no_text,words=0 pages=30,https://www.winfield34.org/board/files/documents/Teacher%20Contract%202021-2025.pdf
213,10696,Bensenville SD 2,180,no_candidate_table,"{'lines_with_edu_lane': 22, 'lines_with_money': 16, 'punct_step_rows': 1, 'bare_step_rows': 1} | sample: 1. For the 2022-23 school year each teacher shall receive the greater of $4,000  || 23 - $68,002, 2023-24 - $71,402, and for following years, the prior year’s amoun",https://www.bsd2.org/fs/resource-manager/view/aa0d0369-d4f8-4f21-b387-6a2df06499a9
214,10564,Pearl City CUSD 200,183,scanned_no_text,words=0 pages=25,https://www.pcwolves.net/district_info_/teacher_master_contract_2023-2026
218,10856,Aurora West USD 129,193,no_candidate_table,"{'lines_with_money': 12, 'lines_with_edu_lane': 9}",https://www.sd129.org/fs/resource-manager/view/e928482b-c219-4716-95b3-4b8d8cacc248
220,10495,Elmwood Park CUSD 401,202,no_candidate_table,"{'lines_with_money': 10, 'bare_step_rows': 9, 'lines_with_edu_lane': 10} | sample: 7 The Board of Education of Elmwood Park School District No. 401, Cook County, I || 39 AFSCME, 138 S.Ct. 2448 (2018). During the term of this contract, in the event || 5 be reimbursed up to $200 per year during the period of this collective bargain || 19 employees is .5 of full-time (ten days vacation = 10, four (4) hour days). If",https://www.epcusd401.org/fs/resource-manager/view/fb20313f-ebd1-4b16-8af4-28f4f92c0e89
229,11004,Alden Hebron SD 19,228,no_candidate_table,{'lines_with_edu_lane': 21},https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/860/Alden_Hebron_School_District_19/4bb3a1a6-7e02-4b25-a2e7-08d767ec98d3/Certified_Staff_Manual_2024.pdf?disposition=inline
233,11658,Annawan CUSD 226,234,scanned_no_text,words=0 pages=7,https://hscsed.schoolboard.net/sites/henrystark.schoolboard.net/files/6e_Special%20Education%20Teacher%20Scholarship%20and%20Employment%20Agreement-Anthony%20Roome.pdf
236,13086,Brookwood SD 167,261,scanned_no_text,words=0 pages=50,http://www.brookwood167.org/wp-content/uploads/2021/12/GEA-Signed-Contract_001_v2.pdf
237,10403,Brownstown CUSD 201,262,scanned_no_text,words=0 pages=34,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/877/Brownstown_Cusd_201/e47f716f-fb8a-4f5f-80c2-088c2f73ec89/BEA_Agreement_2024-25_through_2026-27.pdf?disposition=inline
239,10970,Brussels CUSD 42,264,scanned_no_text,words=0 pages=23,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/2721/BCUSD42/2478846/collective_bargain_agreement_2022-2023_through_2024-2025-09262022092634.pdf
242,10606,Central A & M CUD 21,278,scanned_no_text,words=0 pages=29,https://www.camraiders.com/vimages/shared/vnews/stories/5914c5c70a3b3/2024-2027%20Collective%20Bargaining%20Agreement.pdf
244,10968,Cerro Gordo CUSD 100,282,scanned_no_text,words=0 pages=30,https://www.cgbroncos.org/vimages/shared/vnews/stories/584b053e91e8f/teacher%20contract%2020-24.pdf
248,10666,Clinton CUSD 15,287,no_candidate_table,"{'lines_with_money': 40, 'lines_with_edu_lane': 15}",https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/900/Clinton_Cusd_15/4a0cf53f-66c3-4f0f-b491-10bd382d8486/Final_2025_-2026___2026-2027_Contract__1_.pdf?disposition=inline
258,11041,Eswood CCSD 269,317,no_candidate_table,"{'lines_with_money': 5, 'lines_with_edu_lane': 6}",https://resources.finalsite.net/images/v1721937983/eswoodschoolorg/pcvvuh2hrvfpyv4td4tp/Eswood_CCSD_269_-_Evaluation_Plan.pdf
266,10899,Grayslake CCSD 46,340,no_candidate_table,"{'lines_with_money': 64, 'lines_with_edu_lane': 19}",https://d46.org/wp-content/uploads/2025/11/CCSD-46-GFT-CBA2025-2028.pdf
267,10973,Greenfield CUSD 10,341,no_candidate_table,"{'lines_with_money': 19, 'three_digit_step_rows': 1, 'lines_with_edu_lane': 9}",https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/4741/GCUSD10/4102404/Employee_Handbook_2025-2026.pdf
270,10957,Henry-Senachwine CUSD 5,347,no_candidate_table,"{'lines_with_edu_lane': 13, 'lines_with_money': 26}",https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/1724/Hscusd_5/7a578179-1c05-40b1-b984-8f540a9ec3d9/Collective_Bargaining_Agreement_2025-2027_Webs.pdf?disposition=inline
277,10867,Iroquois County CUSD 9,358,no_candidate_table,"{'lines_with_money': 56, 'lines_with_edu_lane': 7, 'three_digit_step_rows': 2}",https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/407/Watseka/03c37e8a-f10c-4574-a8ad-1431d3f528b0/2023-2024_Certified_Handbook.pdf?disposition=inline
279,10513,Kirby SD 140,364,scanned_no_text,words=0 pages=3,https://www.ksd140.org/district-business-office/files/documents/2022-23%20School%20Year/MemoofAgreement-SalaryCommittee%202022.pdf
280,10883,Knoxville CUSD 202,365,no_candidate_table,"{'lines_with_money': 1, 'lines_with_edu_lane': 1}",https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/2723/Kcusd/2ec7ab6b-8ee1-4d93-b312-26d6280c17a9/Special_Education_Teacher_w_job_desc.pdf?disposition=inline
281,11187,Liberty CUSD 2,368,no_candidate_table,"{'lines_with_money': 27, 'lines_with_edu_lane': 9}",https://content.myconnectsuite.com/api/documents/d831a21665de46f08906a54e8671d313.pdf
283,11063,Limestone Walters CCSD 316,371,scanned_no_text,words=0 pages=28,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/2271/Lwsd/b5b8d45d-f890-4802-b9c2-cc87029bb588/FinalLWCBA2025-2027.pdf?disposition=inline
285,10807,Macomb CUSD 185,377,no_candidate_table,{},https://www.macomb185.org/DocumentCenter/View/221
290,11171,New Lenox SD 122,432,scanned_no_text,words=0 pages=12,https://www.nlsd122.org/c/application/files/9017/7142/7523/New_Lenox_Council_AFT_Local_604_IFT-AFT_Collective_Bargaining_Agreement_Extension.pdf
299,10567,Orangeville CUSD 203,452,no_candidate_table,"{'lines_with_money': 41, 'lines_with_edu_lane': 11}",https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/1023/Cusd_203/ec3c89fd-4bc8-47dc-ae0f-b3c7e61554f9/FinalTeacher_Contract_19-22.pdf?disposition=inline
300,10598,Paris CUSD 4,455,no_candidate_table,"{'lines_with_money': 18, 'lines_with_edu_lane': 10}",https://cdnsm5-ss11.sharpschool.com/UserFiles/Servers/Server_8565331/File/Certified%20Employee%20Handbook-%20Paris%20HS%202025-26.docx.pdf
301,10388,Pleasant Hill CUSD 3,464,no_candidate_table,"{'lines_with_edu_lane': 3, 'lines_with_money': 2}",https://www.phwolves.com/vimages/shared/vnews/stories/63b998d7bf21f/5250_PRESS_ISSUE%20113_10_23%20with%20adoption%20date.pdf
303,10817,Princeton HSD 500,471,no_candidate_table,"{'lines_with_edu_lane': 9, 'lines_with_money': 12}",https://phs-il.org/wp-content/uploads/2016/05/collectivebargainingagreement.pdf
343,10397,South Fork SD 14,511,scanned_no_text,words=0 pages=2,https://www.southforkschools.com/pages/data/contract/2014-2015/2015_sports_coop_agreement.pdf
346,10404,St Elmo CUSD 202,514,no_candidate_table,"{'lines_with_edu_lane': 11, 'lines_with_money': 13, 'bare_step_rows': 1} | sample: 28 will not be eligible to receive the bonus. Thus, years 23, 24, 25, 26, 27, 29",https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/739/St_Elmo_Cusd_202/1d601211-8356-4332-a58a-cf36921fc3f0/SEA_Contract_FY21__FY22__FY23.pdf?disposition=inline
347,10581,St Joseph Ogden CHSD 305,517,no_candidate_table,"{'lines_with_money': 16, 'three_digit_step_rows': 4, 'lines_with_edu_lane': 16}",https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/1670/Sjohs/2bf164a3-7668-4d8d-aef9-bfb5df3f646b/2025-Cert--Non-Cert-Emp.-Handbook.pdf?disposition=inline
353,10455,Township HSD 211,526,no_candidate_table,"{'lines_with_money': 36, 'punct_step_rows': 4, 'lines_with_edu_lane': 28, 'bare_step_rows': 1} | sample: 5. Negotiations shall begin no later than April 15, unless both parties agree to || 1. With 15 – 20 years of service = $5,000 || 2. With 20+ – 25 years of service = $7,500 || 3. With 25+ years of service = $10,000",https://adc.d211.org/cms/lib/IL49000007/Centricity/domain/82/documents/Teachers%20Contract%20July%202024%20to%20June%202029.pdf
360,10749,Wabash CUSD 348,539,no_candidate_table,"{'lines_with_money': 71, 'lines_with_edu_lane': 16, 'three_digit_step_rows': 3}",https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/1091/Wabash_CUSD/4662258/2025_Employee_Handbook_-_Final.pdf
363,11289,Westchester SD 92-5,549,scanned_no_text,words=0 pages=1,https://www.sd925.org/pdfs/Finance/MOU-Insurance%20Committee%205_20_2021%20_WEA_.pdf
365,10390,Western CUSD 12,550,scanned_no_text,words=0 pages=1,https://www.westerncusd12.org/wp-content/uploads/2025/03/Non-Certified-Salary-Schedule-2021-2025.pdf
367,11427,Windsor CUSD 1,554,no_candidate_table,"{'lines_with_edu_lane': 12, 'lines_with_money': 14}",https://windsorcusd.org/wp-content/uploads/2023/09/Certified-Empoyee-Handbook-2023.pdf
374,10828,Bradford CUSD 1,567,scanned_no_text,words=0 pages=6,https://hscsed.schoolboard.net/sites/henrystark.schoolboard.net/files/6D_Scholarship%20%26%20Employment%20Agreement%20%28LBS1%29%20Alexandria%20Simpson.pdf
375,10714,Butler SD 53,569,no_candidate_table,"{'lines_with_money': 17, 'lines_with_edu_lane': 5}",https://butler53.com/wp-content/uploads/2025/08/ButlerD53AnnualFinaancialUpdate_Final.pdf
376,10557,Chadwick-Milledgeville CUSD 399,570,no_candidate_table,"{'lines_with_money': 87, 'lines_with_edu_lane': 14}",https://content.myconnectsuite.com/api/documents/62fcee5b827d4712a34daa8b8b875a13.pdf
381,10485,Lyons SD 103,583,scanned_no_text,words=0 pages=4,https://www.willowspringsschool.org/wp-content/uploads/2024/11/August-21-2024-Regular-Board-Minutes-signed.pdf
408,10471,Maywood-Melrose Park-Broadview 89,585,no_candidate_table,"{'lines_with_money': 40, 'lines_with_edu_lane': 15, 'punct_step_rows': 1, 'bare_step_rows': 1} | sample: 3. No employee shall receive more than $1,600.00 per fiscal year for the term of || 2 days a week quarterly $1,500.00 per coach (travel)",https://www.maywood89.org/wp-content/uploads/2022/09/SD89-MEA-2022-2026-CBA-Final.pdf
412,11088,Shiloh Village SD 85,605,no_candidate_table,"{'lines_with_money': 13, 'lines_with_edu_lane': 7}",https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/2874/Svsd/a3714f83-9cf4-4116-8ea8-de27cdfb0415/2025-2026_Substitute_Handbook.pdf?disposition=inline
420,11106,Belleville Area Special Services,618,scanned_no_text,words=0 pages=5,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3284/BASSC/4780276/doc01503820240830135325.pdf
422,10393,Bond County CUSD 2,622,no_candidate_table,"{'lines_with_edu_lane': 12, 'lines_with_money': 123}",https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3089/BCCU2/4752856/2024-2026_Certified_Contract_-_Signed.pdf
423,11137,Delavan CUSD 703,636,scanned_no_text,words=0 pages=7,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/1500051/july_20-103041.pdf
424,10951,Dimmick CCSD 175,637,scanned_no_text,words=0 pages=17,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/5190/DCCSD/4973657/Collective_Bargaining_Agreement_2021-2026.pdf
425,10508,Eisenhower Cooperative,640,no_candidate_table,"{'lines_with_edu_lane': 11, 'lines_with_money': 99, 'punct_step_rows': 3} | sample: 2. The Board will pay the annual plan administrative fee (now $500.00 || 3. The Board will contribute $200.00 towards the flexible spending || 4. However, a teacher hired after August 25, 2009 and electing PPO",https://campussuite-storage.s3.amazonaws.com/prod/1558517/65faa5de-9e2a-11e7-830c-0a4092f0e2f6/2517951/78477aac-70be-11ed-b730-0e4158f03d65/file/FINAL%202023-2027%20Signed%20Contract.pdf
432,10601,Paris Cooperative High School,669,scanned_no_text,words=0 pages=34,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/552789/PACT_Contract_2019-2022.pdf
433,10420,Pecatonica CUSD 321,671,no_candidate_table,"{'lines_with_money': 7, 'lines_with_edu_lane': 10}",https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/488/District/064722c8-38ea-4034-b28a-93d919a53099/PNA_2022_-_2027_-_AMENDED.pdf?disposition=inline
440,10562,Scales Mound CUSD 211,690,no_candidate_table,"{'lines_with_edu_lane': 22, 'lines_with_money': 48, 'three_digit_step_rows': 7, 'bare_step_rows': 4, 'punct_step_rows': 1} | sample: 20 U.S.C. §1681 et seq., Title IX of the Education Amendments of 1972, implement || 42 U.S.C. §2000e et seq., Title VII of the Civil Rights Act of 1964, implemented || 6. Education for staff instructing students in grades 7 through 12, concerning t || 23 Ill.Admin.Code Part 22, Code of Ethics for Illinois Educators.",https://cdnsm5-ss3.sharpschool.com/UserFiles/Servers/Server_783366/File/2022-2023%20FACULTY%20HANDBOOK.pdf
