doc_id,district_id,district_name,state,school_year,bargaining_unit,classification,detail,source_url
483,11013,Richmond-Burton CHSD 157,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/452611/Board_Policy_-_Section_5_617.pdf
485,10494,Ridgewood CHSD 234,IL,,food_service,not-CBA,title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.d234.org/assets/1/6/Ridgewood_Cafeteria_Price_List_2025.2026_School_Year.pdf
488,10612,Robinson CUSD 2,IL,,transportation,not-CBA,title=0 body=0 agenda=0 policy=0/0 kw=2 -> not-CBA,https://www.robinsonschools.com/unit2/images/files/transportation-documents//[x] School Bus Policy (2025-2026).pdf
491,10416,Rockton SD 140,IL,,paraprofessionals,not-CBA,title=0 body=1 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.rockton140.org/district/Job/26_27/RGS_1_1_Para.pdf
496,10647,Sandoval CUSD 501,IL,,teachers,not-CBA,title=1 body=2 agenda=0 policy=0/12 kw=6 -> not-CBA,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/2033/Sandoval_CUSD/4280342/Policy-5120.pdf
498,10678,Saunemin CCSD 438,IL,,administrators,needs-OCR,insufficient_text (0 chars),https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3780/Saunemin/4464260/McDermaid_Assistant_Principal_Athletic_Director_Contract_2024-2027_Signed.pdf
505,10446,Skokie SD 69,IL,,teachers,not-CBA,title=0 body=3 agenda=1 policy=0/4 kw=4 -> not-CBA,https://resources.finalsite.net/images/v1705598258/skokie69k12ilus/uqqjbvheltc91ogwv0xc/D69FSMC-RFP-fixed-price-Contract01042024.pdf
506,10450,Skokie SD 73-5,IL,,transportation,not-CBA,title=0 body=0 agenda=0 policy=0/0 kw=0 -> not-CBA,https://www.sd735.org/boe/files/documents/Policy%20Manual/4110.pdf
507,10450,Skokie SD 73-5,IL,,teachers,not-CBA,title=0 body=0 agenda=1 policy=1/9 kw=2 -> not-CBA policy_manual,https://www.sd735.org/boe/files/documents/Policy%20Manual/7220.pdf
511,10397,South Fork SD 14,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://www.southforkschools.com/pages/data/contract/2014-2015/2015_sports_coop_agreement.pdf
513,10404,St Elmo CUSD 202,IL,,support_staff,needs-OCR,insufficient_text (0 chars),https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/739/St_Elmo_CUSD_202/2966355/St._Elmo_ESP_Contract_2023-2025.pdf
516,10800,Nauvoo-Colusa CUSD 325,IL,,teachers,not-CBA,title=0 body=2 agenda=1 policy=1/38 kw=5 -> not-CBA policy_manual,http://mail.nauvoo-colusa.com/Files/Registration/Nauvoo%20Colusa%20Handbook%2017-18.pdf
519,12057,Taylorville CUSD 3,IL,,teachers,not-CBA,title=1 body=2 agenda=0 policy=0/38 kw=0 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/2993/Tcusd/52ae75fa-4439-43e3-b0bf-7ff1a95c9bd2/taylorville_3_exported_on_05_28_2026-%284%29%281%29.pdf?disposition=inline
520,10574,Thomasboro CCSD 130,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/2328/Tccsd/9e657522-ad23-4219-be98-4901f9d5b5c8/2-260_Uniform_Grievance_Procedure.pdf?disposition=inline
