RCDTS,NCES_ID,District,County,Website,Unit,PDF_Filename,PDF_Size_KB,Folder_Name
410570130,1712960,East Alton SD 13,Madison,http://www.easd13.org,Unknown,Certified_EAEA_2024-2028.pdf,4270.3,East_Alton_SD_13
410570130,1712960,East Alton SD 13,Madison,http://www.easd13.org,Support Staff,Support_Staff_2025-2027.pdf,4919.8,East_Alton_SD_13
470980200,1701411,East Coloma - Nelson CESD 20,Whiteside,http://ecolomanelson.net,CBA (Unit Unspecified),2023-2027_EC-N_CBA.pdf,3033.6,East_Coloma-Nelson_CESD_20
080431190,1713050,East Dubuque USD 119,Jo Daviess,http://www.eastdbqschools.org,CBA (Unit Unspecified),CBA_2023-2027.pdf,271.8,East_Dubuque_USD_119
080431190,1713050,East Dubuque USD 119,Jo Daviess,http://www.eastdbqschools.org,Unknown,MOU_Activity_Bus.pdf,50.8,East_Dubuque_USD_119
050160630,1713140,East Maine SD 63,Cook,http://www.emsd63.org,Unknown,EMCMA_Custodial_2022-2026.pdf,1530.9,East_Maine_SD_63
050160630,1713140,East Maine SD 63,Cook,http://www.emsd63.org,Unknown,EMEA_2024-2029.pdf,4812.7,East_Maine_SD_63
050160630,1713140,East Maine SD 63,Cook,http://www.emsd63.org,Unknown,EMTAA_2025-2026.pdf,16471.0,East_Maine_SD_63
490810370,1713170,East Moline SD 37,Rock Island,http://www.emsd37.org,CBA (Unit Unspecified),Custodial_Maintenance_CBA_2022-2028.pdf,1022.2,East_Moline_SD_37
490810370,1713170,East Moline SD 37,Rock Island,http://www.emsd37.org,CBA (Unit Unspecified),EMEA_CBA_2020-2025.pdf,2219.1,East_Moline_SD_37
490810370,1713170,East Moline SD 37,Rock Island,http://www.emsd37.org,CBA (Unit Unspecified),EMEA_CBA_2022-2028.pdf,2611.2,East_Moline_SD_37
490810370,1713170,East Moline SD 37,Rock Island,http://www.emsd37.org,CBA (Unit Unspecified),Transportation_CBA_2022-2028.pdf,2353.2,East_Moline_SD_37
530900860,1713240,East Peoria SD 86,Tazewell,http://www.epd86.org,Unknown,EPEEA_Contract_2023-2027.pdf,1160.8,East_Peoria_SD_86
050160730,1713260,East Prairie SD 73,Cook,http://www.eps73.net,Unknown,collective_bargaining_agreement_2021-2025.pdf,1974.9,East_Prairie_SD_73
500821890,1713320,East St Louis SD 189,Saint Clair,http://estl189.com,Teachers,Local1220_Teachers_2024-2027.pdf,3653.5,East_St_Louis_SD_189
080083080,1700007,Eastland CUSD 308,Carroll,http://www.eastland308.com,Unknown,Master_Contract_2023-2026.pdf,2260.5,Eastland_CUSD_308
110230060,1713370,Edgar County CUD 6,Edgar,http://www.chrisman.k12.il.us,CBA (Unit Unspecified),CEA_CBA_25-28.pdf,2147.9,Edgar_County_CUD_6
030110040,1713410,Edinburg CUSD 4,Christian,http://ecusd4.com,CBA (Unit Unspecified),Edinburg_EEA_CBA_FY26-FY30.pdf,3542.8,Edinburg_CUSD_4
030110040,1713410,Edinburg CUSD 4,Christian,http://ecusd4.com,CBA (Unit Unspecified),EEA_BOE_CBA_FY26-FY30.pdf,3542.8,Edinburg_CUSD_4
200240010,1713500,Edwards County CUSD 1,Edwards,http://www.edwardscountyschools.org,Support Staff,ECSPA_Support_2025-2028.pdf,6532.1,Edwards_County_CUSD_1
200240010,1713500,Edwards County CUSD 1,Edwards,http://www.edwardscountyschools.org,Teachers,ECTA_Teacher_2024-2027.pdf,9451.2,Edwards_County_CUSD_1
200240010,1713500,Edwards County CUSD 1,Edwards,http://www.edwardscountyschools.org,Teachers,Teacher_Contract_2021-2024.pdf,8080.3,Edwards_County_CUSD_1
410570070,1713530,Edwardsville CUSD 7,Madison,,Unknown,EEA_Contract_2023-2025.pdf,2809.2,Edwardsville_CUSD_7
410570070,1713530,Edwardsville CUSD 7,Madison,,Unknown,EEA_Contract_current.pdf,2868.8,Edwardsville_CUSD_7
410570070,1713530,Edwardsville CUSD 7,Madison,,Unknown,EFSE_Contract.pdf,2576.5,Edwardsville_CUSD_7
410570070,1713530,Edwardsville CUSD 7,Madison,,Unknown,ESSPA_Contract.pdf,2971.8,Edwardsville_CUSD_7
030250400,1713560,Effingham CUSD 40,Effingham,https://www.unit40.org,Unknown,00_SEPCO_Agreement_26_27_163615_7c6cc372_72b1_4d59_83ba_31ec4b3e9734.pdf,91.4,Effingham_CUSD_40
