RCDTS,NCES_ID,District,County,Website,Unit,PDF_Filename,PDF_Size_KB,Folder_Name
060160840,1715780,Franklin Park SD 84,Cook,http://www.d84.org,Teachers,Teachers_CBA_2022-2027.pdf,1665.2,Franklin_Park_SD_84
500820700,1715820,Freeburg CCSD 70,Saint Clair,http://www.frg70.org,Teachers,Teachers_Agreement_2024-28.pdf,288.7,Freeburg_CCSD_70
080891450,1715900,Freeport SD 145,Stephenson,http://www.freeport.k12.il.us,Unknown,Custodial_Contract_2025-28.pdf,424.5,Freeport_SD_145
080891450,1715900,Freeport SD 145,Stephenson,http://www.freeport.k12.il.us,Unknown,Differentials_2026-27.pdf,75.6,Freeport_SD_145
080891450,1715900,Freeport SD 145,Stephenson,http://www.freeport.k12.il.us,Unknown,FEA_Contract_2023-28.pdf,8997.4,Freeport_SD_145
080891450,1715900,Freeport SD 145,Stephenson,http://www.freeport.k12.il.us,Unknown,FEA_MOU_2026-27SY.pdf,435.8,Freeport_SD_145
080891450,1715900,Freeport SD 145,Stephenson,http://www.freeport.k12.il.us,Unknown,FEA_MOU_RIF_2026.pdf,281.0,Freeport_SD_145
080891450,1715900,Freeport SD 145,Stephenson,http://www.freeport.k12.il.us,Unknown,FEA_MOU_Special_Retirement_Option.pdf,424.5,Freeport_SD_145
080891450,1715900,Freeport SD 145,Stephenson,http://www.freeport.k12.il.us,Unknown,FEA_Salary_Matrix_2026-27.pdf,542.2,Freeport_SD_145
080891450,1715900,Freeport SD 145,Stephenson,http://www.freeport.k12.il.us,Unknown,FEA_Sub_Pay_MOU.pdf,34.1,Freeport_SD_145
080891450,1715900,Freeport SD 145,Stephenson,http://www.freeport.k12.il.us,Unknown,PEEP.pdf,707.2,Freeport_SD_145
080891450,1715900,Freeport SD 145,Stephenson,http://www.freeport.k12.il.us,Unknown,Teamster_Maintenance_Contract_2024-27.pdf,7651.0,Freeport_SD_145
080891450,1715900,Freeport SD 145,Stephenson,http://www.freeport.k12.il.us,Unknown,Transportation_Attendance_MOU.pdf,280.4,Freeport_SD_145
